"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"232";"SF12";"2023-01-19";85;0,987931948884903;0;-0,773107261905582;0,792001011923602;1,02205226527687;-0,29358380298172;3301;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"233";"SF12";"2023-02-11";86;1,02307403688437;0;0,784231107400626;0,792001011923602;1,02205226527687;-0,29358380298172;215;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"234";"SF12";"2023-02-12";86;1,02307403688437;6,57146724417975;1,47638149375894;0,792001011923602;1,02205226527687;-0,29358380298172;14776;971;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"235";"SF12";"2023-03-04";87;1,05821612488383;13,0419118530083;0,0920807210423114;0,792001011923602;1,02205226527687;-0,29358380298172;8327;1086;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"236";"SF13";"2022-03-21";58;0,0390955728994025;0;0,438155914221469;-0,56019583770206;-1,55275099284713;-0,29358380298172;3153;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"237";"SF13";"2022-03-27";58;0,0390955728994025;1,62879549567665;0,438155914221469;-0,56019583770206;-1,55275099284713;-0,29358380298172;14919;243;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"238";"SF13";"2022-04-06";59;0,0742376608988655;0;1,13030630057978;-0,56019583770206;-0,969776670253015;-0,29358380298172;12803;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"239";"SF13";"2022-04-10";59;0,0742376608988655;0;0,0920807210423114;-0,56019583770206;-1,55275099284713;-0,29358380298172;3320;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"240";"SF13";"2022-05-31";60;0,109379748898328;0;0,957268703990205;-0,56019583770206;-1,55275099284713;-0,29358380298172;4725;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"241";"SF13";"2022-06-07";61;0,144521836897791;0;-0,600069665316003;-0,56019583770206;-1,55275099284713;-0,29358380298172;3926;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"242";"SF13";"2022-06-28";61;0,144521836897791;0;-0,253994472136846;-0,56019583770206;-1,55275099284713;-0,29358380298172;40;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
