"";"X";"Focal";"Date";"Age.new";"Age.scale";"contact.one.meter";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"total.scans";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"167";167;"SM8";"2023-01-27";30;-0,951800561092871;1;0,255706583363828;-0,826451136434645;-1,18242147118229;-0,296468713980032;9;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"168";168;"SM8";"2023-01-28";30;-0,951800561092871;3;0,774030738831047;-0,826451136434645;-1,18242147118229;-0,296468713980032;5;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"169";169;"SM8";"2023-02-01";31;-0,916558181356701;4;-0,435392290592464;-0,826451136434645;-1,18242147118229;-0,296468713980032;18;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"170";170;"SM8";"2023-02-05";31;-0,916558181356701;12;1,29235489429827;-0,826451136434645;-1,18242147118229;-0,296468713980032;50;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"171";171;"SM8";"2023-03-22";32;-0,88131580162053;7;-0,78094172757061;-0,826451136434645;-1,18242147118229;-0,296468713980032;33;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"172";172;"EM9";"2022-02-23";51;-0,211710586633287;22;-0,608167009081537;0,656357100644121;0,0334472543582237;-0,296468713980032;57;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"173";173;"EM9";"2022-03-18";52;-0,176468206897116;10;-0,953716446059683;0,656357100644121;-0,236745795761888;-0,296468713980032;33;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"174";174;"EM9";"2022-03-20";52;-0,176468206897116;1;-1,12649116454876;0,656357100644121;-0,236745795761888;-0,296468713980032;2;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"175";175;"EM9";"2022-03-24";52;-0,176468206897116;22;-0,262617572103391;0,656357100644121;-0,236745795761888;-0,296468713980032;69;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"176";176;"EM9";"2022-04-18";53;-0,141225827160946;9;-0,262617572103391;0,656357100644121;-0,236745795761888;-0,296468713980032;9;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"177";177;"EM9";"2022-04-21";53;-0,141225827160946;3;-1,12649116454876;0,656357100644121;-0,236745795761888;-0,296468713980032;3;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"178";178;"EM9";"2022-04-28";53;-0,141225827160946;34;1,11958017580919;0,656357100644121;-0,236745795761888;-0,296468713980032;108;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"179";180;"EM9";"2022-06-23";55;-0,0707410676886044;22;-0,608167009081537;0,656357100644121;0,393704654518378;-0,296468713980032;43;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"180";181;"EM9";"2022-11-25";60;0,105470830992249;1;0,428481301852901;0,791157849469464;0,393704654518378;-0,296468713980032;1;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"181";182;"EM9";"2022-11-28";60;0,105470830992249;9;0,0829318648747551;0,791157849469464;0,393704654518378;-0,296468713980032;21;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"182";183;"EM9";"2022-12-16";61;0,14071321072842;7;-0,435392290592464;0,791157849469464;0,393704654518378;-0,296468713980032;21;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"183";184;"EM9";"2022-12-17";61;0,14071321072842;16;-0,262617572103391;0,791157849469464;0,393704654518378;-0,296468713980032;53;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"184";185;"EM9";"2022-12-18";61;0,14071321072842;15;1,11958017580919;0,791157849469464;0,393704654518378;-0,296468713980032;84;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"185";186;"EM9";"2022-12-19";61;0,14071321072842;13;1,46512961278734;0,791157849469464;0,393704654518378;-0,296468713980032;45;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"186";187;"EM9";"2022-12-20";61;0,14071321072842;4;0,255706583363828;0,791157849469464;0,393704654518378;-0,296468713980032;30;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"187";188;"EM9";"2023-03-25";64;0,246440349936932;6;0,601256020341974;0,791157849469464;0,393704654518378;-0,296468713980032;6;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"188";189;"EM9";"2023-04-03";65;0,281682729673102;0;1,29235489429827;0,791157849469464;0,393704654518378;-0,296468713980032;6;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"189";190;"EM10";"2022-02-10";51;-0,211710586633287;0;-0,0898428536143179;0,656357100644121;0,0334472543582237;-0,296468713980032;1;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"190";191;"EM10";"2022-03-18";52;-0,176468206897116;21;-0,78094172757061;0,656357100644121;-0,236745795761888;-0,296468713980032;55;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"191";192;"EM10";"2022-03-30";52;-0,176468206897116;3;-0,435392290592464;0,656357100644121;-0,236745795761888;-0,296468713980032;5;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"192";193;"EM10";"2022-04-02";53;-0,141225827160946;10;-0,78094172757061;0,656357100644121;-0,236745795761888;-0,296468713980032;10;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"193";194;"EM10";"2022-04-06";53;-0,141225827160946;28;1,46512961278734;0,656357100644121;0,0334472543582237;-0,296468713980032;63;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"194";195;"EM10";"2023-01-27";62;0,17595559046459;36;0,94680545732012;0,791157849469464;0,393704654518378;-0,296468713980032;95;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"195";196;"EM10";"2023-01-28";62;0,17595559046459;32;1,29235489429827;0,791157849469464;0,393704654518378;-0,296468713980032;67;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"196";197;"EM10";"2023-01-29";62;0,17595559046459;35;0,255706583363828;0,791157849469464;0,393704654518378;-0,296468713980032;81;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"197";198;"EM10";"2023-01-31";62;0,17595559046459;31;0,774030738831047;0,791157849469464;0,393704654518378;-0,296468713980032;69;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"198";199;"EM10";"2023-02-01";63;0,211197970200761;24;1,46512961278734;0,791157849469464;0,393704654518378;-0,296468713980032;62;"EST";"M";"Yes";-1,43818181818182;0,383636363636364;0,603636363636364
"199";200;"SM11";"2022-02-07";87;1,05701508386886;8;-1,29926588303783;3,35237207715097;1,65460555507891;-0,296468713980032;21;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"200";201;"SM11";"2022-03-25";88;1,09225746360503;2;-0,435392290592464;3,35237207715097;1,65460555507891;-0,296468713980032;26;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"201";202;"SM11";"2022-04-02";89;1,1274998433412;1;0,428481301852901;3,35237207715097;1,65460555507891;-0,296468713980032;37;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"202";203;"SM11";"2022-04-11";89;1,1274998433412;0;2,3290032052327;3,35237207715097;1,65460555507891;-0,296468713980032;42;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"203";204;"SM11";"2022-04-27";89;1,1274998433412;0;-0,608167009081537;3,35237207715097;1,65460555507891;-0,296468713980032;52;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"204";205;"SM11";"2022-05-15";90;1,16274222307737;2;-0,78094172757061;3,35237207715097;1,65460555507891;-0,296468713980032;47;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"205";206;"SM11";"2022-06-13";91;1,19798460281354;6;-0,435392290592464;3,35237207715097;1,65460555507891;-0,296468713980032;37;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
